"";"Product_Name";"Food_Category";"Calories";"Total_Fat.g";"Sodium.mg";"Total_Carbs.g";"Sugars.g";"Protein.g";"Calories_FGC";"Fat_FGC";"Sodium_FGC";"Carboidrati_FGC";"Zucchero_FGC";"Proteine_FGC"
"NA.162";"Mocha Frappe: 12 fl oz";"Coffee & Tea";35;19;50;58;39;3;1,5;30,6;3,3;25,8;104;5,4
"NA.163";"Mocha Frappe: 16 fl oz";"Coffee & Tea";45;22;57;72;49;4;1,9;35,5;3,8;32;130,7;7,1
"NA.164";"Mocha Frappe: 20 fl oz";"Coffee & Tea";54;25;62;87;59;5;2,2;40,3;4,1;38,7;157,3;8,9
"NA.165";"Caramel Frappe: 12 fl oz";"Coffee & Tea";35;19;50;58;39;3;1,5;30,6;3,3;25,8;104;5,4
"NA.166";"Caramel Frappe: 16 fl oz";"Coffee & Tea";45;22;57;72;49;4;1,9;35,5;3,8;32;130,7;7,1
"168";"Egg McMuffin";"Breakfast";300;13;750;31;3;17;12,5;21;50;13,8;8;30,4
"169";"Egg White Delight";"Breakfast";250;8;770;30;3;18;10,4;12,9;51,3;13,3;8;32,1
"170";"Sausage McMuffin";"Breakfast";370;23;780;29;2;14;15,4;37,1;52;12,9;5,3;25
"171";"Sausage McMuffin with Egg";"Breakfast";450;28;860;30;2;21;18,8;45,2;57,3;13,3;5,3;37,5
"172";"Sausage McMuffin with Egg Whites";"Breakfast";400;23;880;30;2;21;16,7;37,1;58,7;13,3;5,3;37,5
"173";"Steak & Egg McMuffin";"Breakfast";430;23;960;31;3;26;17,9;37,1;64;13,8;8;46,4
"174";"Bacon; Egg & Cheese Biscuit (Regular Biscuit)";"Breakfast";460;26;1300;38;3;19;19,2;41,9;86,7;16,9;8;33,9
"175";"Bacon; Egg & Cheese Biscuit (Large Biscuit)";"Breakfast";520;30;1410;43;4;19;21,7;48,4;94;19,1;10,7;33,9
"176";"Bacon; Egg & Cheese Biscuit with Egg Whites (Regular Biscuit)";"Breakfast";410;20;1300;36;3;20;17,1;32,3;86,7;16;8;35,7
"177";"Bacon; Egg & Cheese Biscuit with Egg Whites (Large Biscuit)";"Breakfast";470;25;1420;42;4;20;19,6;40,3;94,7;18,7;10,7;35,7
"178";"Sausage Biscuit (Regular Biscuit)";"Breakfast";430;27;1080;34;2;11;17,9;43,5;72;15,1;5,3;19,6
"179";"Sausage Biscuit (Large Biscuit)";"Breakfast";480;31;1190;39;3;11;20;50;79,3;17,3;8;19,6
"180";"Sausage Biscuit with Egg (Regular Biscuit)";"Breakfast";510;33;1170;36;2;18;21,2;53,2;78;16;5,3;32,1
"181";"Sausage Biscuit with Egg (Large Biscuit)";"Breakfast";570;37;1280;42;3;18;23,8;59,7;85,3;18,7;8;32,1
"182";"Sausage Biscuit with Egg Whites (Regular Biscuit)";"Breakfast";460;27;1180;34;3;18;19,2;43,5;78,7;15,1;8;32,1
"183";"Sausage Biscuit with Egg Whites (Large Biscuit)";"Breakfast";520;32;1290;40;3;18;21,7;51,6;86;17,8;8;32,1
"184";"Southern Style Chicken Biscuit (Regular Biscuit)";"Breakfast";410;20;1180;41;3;17;17,1;32,3;78,7;18,2;8;30,4
"185";"Southern Style Chicken Biscuit (Large Biscuit)";"Breakfast";470;24;1290;46;4;17;19,6;38,7;86;20,4;10,7;30,4
"186";"Steak & Egg Biscuit (Regular Biscuit)";"Breakfast";540;32;1470;38;3;25;22,5;51,6;98;16,9;8;44,6
"187";"Bacon; Egg & Cheese McGriddles";"Breakfast";460;21;1250;48;15;19;19,2;33,9;83,3;21,3;40;33,9
"188";"Bacon; Egg & Cheese McGriddles with Egg Whites";"Breakfast";400;15;1250;47;16;20;16,7;24,2;83,3;20,9;42,7;35,7
"189";"Sausage McGriddles";"Breakfast";420;22;1030;44;15;11;17,5;35,5;68,7;19,6;40;19,6
"190";"Sausage; Egg & Cheese McGriddles";"Breakfast";550;31;1320;48;15;20;22,9;50;88;21,3;40;35,7
"191";"Sausage; Egg & Cheese McGriddles with Egg Whites";"Breakfast";500;26;1320;46;15;21;20,8;41,9;88;20,4;40;37,5
"192";"Bacon; Egg & Cheese Bagel";"Breakfast";620;31;1480;57;7;30;25,8;50;98,7;25,3;18,7;53,6
"193";"Bacon; Egg & Cheese Bagel with Egg Whites";"Breakfast";570;25;1480;55;8;30;23,8;40,3;98,7;24,4;21,3;53,6
