,Componenti,Valori nutrizionali,Prodotto,Categoria,Fast_Food
257,Sodium (mg),2070,Cantina Double Steak Quesadilla,Beef & Pork,TacoBell
258,Calories from Fat,400,Cantina Double Steak Quesadilla,Beef & Pork,TacoBell
259,Saturated Fat (g),19.0,Cantina Double Steak Quesadilla,Beef & Pork,TacoBell
260,Trans Fat (g),1.0,Cantina Double Steak Quesadilla,Beef & Pork,TacoBell
261,Cholesterol (mg),115,Cantina Double Steak Quesadilla,Beef & Pork,TacoBell
262,Fiber (g),9,Cantina Double Steak Quesadilla,Beef & Pork,TacoBell
263,Sugars (g),10,Cantina Double Steak Quesadilla,Beef & Pork,TacoBell
264,Calories,340,Chalupa Supreme® – Chicken,Chicken & Fish,TacoBell
265, Protein (g),16,Chalupa Supreme® – Chicken,Chicken & Fish,TacoBell
266, Total Fat (g),18.0,Chalupa Supreme® – Chicken,Chicken & Fish,TacoBell
267,Total Carbs (g),29,Chalupa Supreme® – Chicken,Chicken & Fish,TacoBell
268,Sodium (mg),530,Chalupa Supreme® – Chicken,Chicken & Fish,TacoBell
269,Calories from Fat,160,Chalupa Supreme® – Chicken,Chicken & Fish,TacoBell
270,Saturated Fat (g),4.0,Chalupa Supreme® – Chicken,Chicken & Fish,TacoBell
271,Trans Fat (g),0.0,Chalupa Supreme® – Chicken,Chicken & Fish,TacoBell
272,Cholesterol (mg),40,Chalupa Supreme® – Chicken,Chicken & Fish,TacoBell
273,Fiber (g),3,Chalupa Supreme® – Chicken,Chicken & Fish,TacoBell
274,Sugars (g),4,Chalupa Supreme® – Chicken,Chicken & Fish,TacoBell
275,Calories,350,Chalupa Supreme® – Steak,Beef & Pork,TacoBell
276, Protein (g),16,Chalupa Supreme® – Steak,Beef & Pork,TacoBell
277, Total Fat (g),19.0,Chalupa Supreme® – Steak,Beef & Pork,TacoBell
278,Total Carbs (g),30,Chalupa Supreme® – Steak,Beef & Pork,TacoBell
279,Sodium (mg),500,Chalupa Supreme® – Steak,Beef & Pork,TacoBell
280,Calories from Fat,170,Chalupa Supreme® – Steak,Beef & Pork,TacoBell
281,Saturated Fat (g),4.5,Chalupa Supreme® – Steak,Beef & Pork,TacoBell
282,Trans Fat (g),0.0,Chalupa Supreme® – Steak,Beef & Pork,TacoBell
283,Cholesterol (mg),35,Chalupa Supreme® – Steak,Beef & Pork,TacoBell
284,Fiber (g),3,Chalupa Supreme® – Steak,Beef & Pork,TacoBell
285,Sugars (g),4,Chalupa Supreme® – Steak,Beef & Pork,TacoBell
286,Calories,370,Chalupa Supreme® – Beef,Beef & Pork,TacoBell
287, Protein (g),13,Chalupa Supreme® – Beef,Beef & Pork,TacoBell
288, Total Fat (g),22.0,Chalupa Supreme® – Beef,Beef & Pork,TacoBell
289,Total Carbs (g),31,Chalupa Supreme® – Beef,Beef & Pork,TacoBell
290,Sodium (mg),590,Chalupa Supreme® – Beef,Beef & Pork,TacoBell
291,Calories from Fat,190,Chalupa Supreme® – Beef,Beef & Pork,TacoBell
292,Saturated Fat (g),6.0,Chalupa Supreme® – Beef,Beef & Pork,TacoBell
293,Trans Fat (g),0.5,Chalupa Supreme® – Beef,Beef & Pork,TacoBell
294,Cholesterol (mg),30,Chalupa Supreme® – Beef,Beef & Pork,TacoBell
295,Fiber (g),5,Chalupa Supreme® – Beef,Beef & Pork,TacoBell
296,Sugars (g),4,Chalupa Supreme® – Beef,Beef & Pork,TacoBell
297,Calories,340,Fresco Burrito Supreme® – Chicken,Chicken & Fish,TacoBell
298, Protein (g),18,Fresco Burrito Supreme® – Chicken,Chicken & Fish,TacoBell
